MGR_RUNID,HL_DATE,HL_MARKET,Cntr,Region,Market,SubNetwork_2,PERIOD_START_TIME,PERIOD_DURATION,MeContext,UtranCell,pmAttNonBlindInterFreqHoCsSpeech12,pmCellDowntimeAuto,pmCellDowntimeMan,pmChSwitchAttemptUraFach,pmChSwitchSuccUraFach,pmDlTrafficVolumePs128,pmDlTrafficVolumePs16,pmDlTrafficVolumePs384,pmDlTrafficVolumePs64,pmDlTrafficVolumePs8,pmDlTrafficVolumePsCommon,pmDlTrafficVolumePsIntHs,pmDlTrafficVolumePsStr128,pmDlTrafficVolumePsStr16,pmDlTrafficVolumePsStr64,pmFailNonBlindInterFreqHoFailRevertCsSpeech12,pmNoDirRetryAtt,pmNoLoadSharingRrcConnCs,pmNoLoadSharingRrcConnPs,pmNoNormalNasSignReleaseCs,pmNoNormalRabReleaseSpeech,pmNoRabEstablishAttemptSpeech,pmNoRabEstablishSuccessSpeech,pmNoRabEstablishAttemptPacketInteractive,pmNoRabEstablishSuccessPacketInteractive,pmNoSysRelSpeechNeighbr,pmNoSystemNasSignReleaseCs,pmNoSystemRabReleaseSpeech,pmNoTimesCellFailAddToActSet,pmSamplesDchDlRlcUserPacketThp,pmSamplesHsDlRlcUserPacketThp,pmSamplesUlRssi,pmSuccNonBlindInterFreqHoCsSpeech12,pmSumBestAmr12200RabEstablish,pmSumBestAmr4750RabEstablish,pmSumBestAmr5900RabEstablish,pmSumBestAmr7950RabEstablish,pmSumBestAmrNbMmRabEstablish,pmSumBestAmrWbRabEstablish,pmSumBestCs12Establish,pmSumDchDlRlcUserPacketThp,pmSumHsDlRlcUserPacketThp,pmSumUlRssi,pmTotNoRrcConnectReqCs,pmTotNoRrcConnectReqCsSucc,pmTotNoRrcConnectReqPs,pmTotNoRrcConnectReqPsSucc
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,UNJ05400H32,0,0,0,10,10,0,0,0,0,0,60,563,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,16,115,90,0,0,0,0,0,0,0,0,62,5410,5341,0,0,1,1
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,PNJ06760A31,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,PNJ09786A11,0,0,0,195,195,0,0,0,3,0,2294,27707,0,0,0,0,0,0,0,2,1,1,1,8,8,0,0,0,0,536,1075,90,0,0,0,0,0,27,172,155,2152,249313,3690,2,2,4,4
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,PNJ05826A11,0,0,0,490,490,0,0,0,0,0,3622,588997,0,0,0,0,0,0,0,13,10,13,13,73,71,0,0,0,0,979,23557,90,0,0,0,0,0,89,1,628,3290,5741482,7766,11,11,58,57
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,UNJ05624A22,0,0,0,8,8,0,0,0,0,0,53,13256,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,193,90,0,0,0,0,0,4,0,0,48,130821,3723,0,0,1,1
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,PNJ05040A31,0,0,0,59,59,0,0,0,0,0,255,1171,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,77,71,90,0,0,0,0,0,1,0,0,219,11129,4456,0,0,1,1
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,UNJ05944B22,0,0,0,80,80,0,0,0,0,0,411,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,166,90,0,0,0,0,0,0,0,0,402,12529,6391,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,PNJ05502B11,0,0,0,22,22,0,0,0,0,0,86,1033,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,26,176,90,0,0,0,0,0,12,0,2,90,9930,4565,0,0,2,2
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,UNJ05976F32,0,0,0,191,191,0,0,0,21,0,1457,316403,0,0,0,0,0,0,0,1,0,2,2,40,40,0,0,0,0,430,5638,90,0,0,0,0,0,0,21,51,1496,3086682,5533,1,1,22,22
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC005,2016-11-21 01:00,15,NYRNC005,UNJ05964D22,0,0,0,6,6,0,0,0,0,0,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,90,0,0,0,0,0,0,0,0,29,188,5402,0,0,0,0
